@RELATION power-spectrum

@ATTRIBUTE alpha_Ch1 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE alpha_Ch2 NUMERIC
@ATTRIBUTE beta_Ch1 NUMERIC
@ATTRIBUTE beta_Ch2 NUMERIC
@ATTRIBUTE beta_Ch3 NUMERIC
@ATTRIBUTE beta_Ch4 NUMERIC
@ATTRIBUTE delta_Ch1 NUMERIC
@ATTRIBUTE delta_Ch2 NUMERIC
@ATTRIBUTE delta_Ch3 NUMERIC
@ATTRIBUTE delta_Ch4 NUMERIC
@ATTRIBUTE gamma_Ch1 NUMERIC
@ATTRIBUTE gamma_Ch2 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE gamma_Ch3 NUMERIC
@ATTRIBUTE theta_Ch1 NUMERIC
@ATTRIBUTE theta_Ch2 NUMERIC
@ATTRIBUTE theta_Ch3 NUMERIC
@ATTRIBUTE theta_Ch4 NUMERIC
@ATTRIBUTE class {close, open}

@DATA
0.9620381, 0.27039003, 0.62710273, 1.0924135, 0.34869814, 0.8578439, 0.2746862, 0.178711, 1.8084385, 0.61067045, 1.7340621, 1.8442918, 0.11739815, 0.94515616, -0.2808864, 0.17320094, 1.0756444, 0.4025013, 1.2476492, 1.1596086, close
0.96613383, 0.27039003, 0.62710273, 1.0976834, 0.32299042, 0.8578439, 0.23964451, 0.18052617, 1.7214496, 0.61067045, 1.6709244, 1.7603053, 0.114485666, 0.94515616, -0.30597767, 0.1521059, 1.0118039, 0.4025013, 1.1955107, 1.0955623, close
0.9758266, 0.27039003, 0.62710273, 1.0977715, 0.3117797, 0.8578439, 0.21761242, 0.20706409, 1.6479982, 0.61067045, 1.617246, 1.6904551, 0.11603245, 0.94515616, -0.32951814, 0.12664495, 0.9624016, 0.4025013, 1.1474888, 1.042337, close
0.9812748, 0.27039003, 0.62710273, 1.0977715, 0.30964866, 0.8578439, 0.20296742, 0.23896515, 1.5851912, 0.61067045, 1.5703015, 1.6294522, 0.12025507, 0.94515616, -0.34782037, 0.099597, 0.9247705, 0.4025013, 1.1028949, 0.9975305, close
0.9812748, 0.1857277, 0.62710273, 1.0977715, 0.31418082, 0.63142, 0.189166, 0.26452255, 1.5328257, 1.6275957, 1.52935, 1.575337, 0.12595288, 0.21344295, -0.3593459, 0.07554335, 0.89176756, -0.088574, 1.0618619, 0.95547634, close
0.9812748, 0.1857277, 0.62710273, 1.0977715, 0.32338977, 0.6370561, 0.1730108, 0.27946004, 1.4900836, 1.5772252, 1.4950609, 1.527871, 0.13007797, 0.2303341, -0.36461756, 0.058496132, 0.86395454, -0.05416035, 1.0239093, 0.9163622, close
0.9812748, 0.18641677, 0.62710273, 1.0977715, 0.33320975, 0.6455207, 0.15472607, 0.2841888, 1.4583358, 1.5272537, 1.4673376, 1.4892526, 0.12982075, 0.2509837, -0.3659436, 0.049112156, 0.840803, 0.029041467, 0.9890346, 0.88170445, close
0.9812748, 0.18848078, 0.62710273, 1.0977715, 0.33896354, 0.6496361, 0.13728802, 0.2813522, 1.4394153, 1.481543, 1.4446896, 1.4617214, 0.12385062, 0.28330633, -0.36658525, 0.04558192, 0.82170224, 0.13374715, 0.9569125, 0.85269964, close
0.9812748, 0.202004, 0.62710273, 1.0977715, 0.33861962, 0.6456322, 0.12337023, 0.27384207, 1.4306059, 1.443277, 1.4250088, 1.444092, 0.11217812, 0.32453436, -0.3687835, 0.04690162, 0.8076392, 0.21419446, 0.9272853, 0.82883495, close
0.9812748, 0.20281345, 0.62710273, 1.0977715, 0.3328899, 0.63317096, 0.11393907, 0.2645199, 1.4263434, 1.4112674, 1.4069452, 1.4321573, 0.095587604, 0.36546126, -0.37310672, 0.0521647, 0.7991583, 0.26617187, 0.90028155, 0.8099043, close
0.9812748, 0.20281345, 0.5650229, 1.0977715, 0.32496053, 0.61677265, 0.05961809, 0.25510475, 1.4234788, 1.3820527, 1.2860645, 1.423194, 0.07575873, 0.3963364, -0.40423712, 0.059135854, 0.795754, 0.28585872, 0.77489865, 0.79531693, close
0.9812748, 0.20915858, 0.42485875, 1.0977715, 0.3176667, 0.6031746, 0.0065498357, 0.24736379, 1.4215857, 1.3528397, 1.1218094, 1.4167014, 0.054947652, 0.4124836, -0.43151632, 0.064014174, 0.79867274, 0.28460377, 0.6259447, 0.7869621, close
0.869199, 0.21682931, 0.17919819, 0.986861, 0.29849002, 0.59661233, -0.032310124, 0.23241772, 1.2971244, 1.3239479, 0.96573967, 1.271297, 0.026008954, 0.4153218, -0.45217624, 0.05062761, 0.7173523, 0.27950504, 0.47835007, 0.6662542, close
0.8347496, 0.21682931, -0.010079494, 0.90299106, 0.2881577, 0.5977792, -0.050027817, 0.23331559, 1.2244798, 1.2974253, 0.8839024, 1.1713797, -0.0019321747, 0.4084489, -0.4678921, 0.031805824, 0.68990034, 0.28236264, 0.37294713, 0.5957538, close
0.88579965, 0.21682931, -0.03780143, 0.8807195, 0.28304166, 0.60271496, -0.053145617, 0.24230011, 1.2211957, 1.2746947, 0.8781197, 1.1493788, -0.02828757, 0.3982552, -0.48092458, 0.007668554, 0.70609474, 0.29461813, 0.32116473, 0.57536024, close
